"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"02/08/2004 06:50";"02/08/2004 06:59";"02/08/2004 07:22";"02/08/2004 07:48";"Realizado";"MX"
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"02/08/2004 06:50";"02/08/2004 06:50";"02/08/2004 09:35";"02/08/2004 09:35";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"30/08/2004 06:50";"30/08/2004 06:50";"30/08/2004 07:27";"30/08/2004 07:27";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"04/08/2004 06:50";"04/08/2004 06:50";"04/08/2004 08:40";"04/08/2004 08:40";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"11/08/2004 06:50";"11/08/2004 06:50";"11/08/2004 09:35";"11/08/2004 09:35";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"17/08/2004 06:50";"17/08/2004 06:50";"17/08/2004 07:39";"17/08/2004 07:39";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"13/08/2004 06:50";"13/08/2004 06:50";"13/08/2004 07:39";"13/08/2004 07:39";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"26/08/2004 06:50";"  ";"26/08/2004 07:39";"  ";"Cancelado";"XT"
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"06/08/2004 06:50";"06/08/2004 06:50";"06/08/2004 07:27";"06/08/2004 07:27";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"05/08/2004 06:50";"05/08/2004 06:50";"05/08/2004 07:27";"05/08/2004 07:27";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"31/08/2004 06:50";"31/08/2004 06:50";"31/08/2004 07:25";"31/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"26/08/2004 06:50";"26/08/2004 06:50";"26/08/2004 08:40";"26/08/2004 08:40";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"29/08/2004 06:50";"29/08/2004 06:50";"29/08/2004 09:35";"29/08/2004 09:35";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 09:35";"24/08/2004 09:35";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"03/08/2004 06:50";"03/08/2004 06:50";"03/08/2004 07:25";"03/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"09/08/2004 06:50";"09/08/2004 06:50";"09/08/2004 08:40";"09/08/2004 08:40";"Realizado";"  "
