f;origem;destino;cols
vra_do_mes_2016_11.rdata;210;212;ChegadaPrevista
vra_do_mes_2016_11.rdata;210;212;ChegadaReal
vra_do_mes_2016_11.rdata;210;212;Situacao
vra_do_mes_2016_11.rdata;210;212;Justificativa
vra_do_mes_2016_12.rdata;210;208;Sigla
vra_do_mes_2016_12.rdata;210;208;Voo
vra_do_mes_2016_12.rdata;210;208;DI
vra_do_mes_2016_12.rdata;210;208;TipoLinha
vra_do_mes_2016_12.rdata;210;208;AeroportoOrigem
vra_do_mes_2016_12.rdata;210;208;AeroportoDestino
vra_do_mes_2016_12.rdata;210;208;PartidaPrevista
vra_do_mes_2016_12.rdata;210;208;PartidaReal
vra_do_mes_2016_12.rdata;210;208;ChegadaPrevista
vra_do_mes_2016_12.rdata;210;208;ChegadaReal
vra_do_mes_2016_12.rdata;210;208;Situacao
vra_do_mes_2016_12.rdata;210;208;Justificativa
vra_do_mes_2017_01.rdata;205;202;Sigla
vra_do_mes_2017_01.rdata;205;202;Voo
vra_do_mes_2017_01.rdata;205;202;DI
vra_do_mes_2017_01.rdata;205;202;TipoLinha
vra_do_mes_2017_01.rdata;205;202;AeroportoOrigem
vra_do_mes_2017_01.rdata;205;202;AeroportoDestino
vra_do_mes_2017_01.rdata;205;202;PartidaPrevista
vra_do_mes_2017_01.rdata;205;202;PartidaReal
vra_do_mes_2017_01.rdata;205;202;ChegadaPrevista
vra_do_mes_2017_01.rdata;205;202;ChegadaReal
vra_do_mes_2017_01.rdata;205;202;Situacao
vra_do_mes_2017_01.rdata;205;202;Justificativa
vra_do_mes_2017_02.rdata;210;212;Sigla
vra_do_mes_2017_02.rdata;210;212;Voo
vra_do_mes_2017_02.rdata;210;212;DI
vra_do_mes_2017_02.rdata;210;212;TipoLinha
vra_do_mes_2017_02.rdata;210;212;AeroportoOrigem
vra_do_mes_2017_02.rdata;210;212;AeroportoDestino
vra_do_mes_2017_02.rdata;210;212;PartidaPrevista
vra_do_mes_2017_02.rdata;210;212;PartidaReal
vra_do_mes_2017_02.rdata;210;212;ChegadaPrevista
vra_do_mes_2017_02.rdata;210;212;ChegadaReal
vra_do_mes_2017_02.rdata;210;212;Situacao
vra_do_mes_2017_02.rdata;210;212;Justificativa
vra_do_mes_2017_03.rdata;214;216;Sigla
vra_do_mes_2017_03.rdata;214;216;Voo
vra_do_mes_2017_03.rdata;214;216;DI
vra_do_mes_2017_03.rdata;214;216;TipoLinha
vra_do_mes_2017_03.rdata;214;216;AeroportoOrigem
vra_do_mes_2017_03.rdata;214;216;AeroportoDestino
vra_do_mes_2017_03.rdata;214;216;PartidaPrevista
vra_do_mes_2017_03.rdata;214;216;PartidaReal
vra_do_mes_2017_03.rdata;214;216;ChegadaPrevista
vra_do_mes_2017_03.rdata;214;216;ChegadaReal
vra_do_mes_2017_03.rdata;214;216;Situacao
vra_do_mes_2017_03.rdata;214;216;Justificativa
vra_do_mes_2017_04.rdata;205;210;Sigla
vra_do_mes_2017_04.rdata;205;210;Voo
vra_do_mes_2017_04.rdata;205;210;DI
vra_do_mes_2017_04.rdata;205;210;TipoLinha
vra_do_mes_2017_04.rdata;205;210;AeroportoOrigem
vra_do_mes_2017_04.rdata;205;210;AeroportoDestino
vra_do_mes_2017_04.rdata;205;210;PartidaPrevista
vra_do_mes_2017_04.rdata;205;210;PartidaReal
vra_do_mes_2017_04.rdata;205;210;ChegadaPrevista
vra_do_mes_2017_04.rdata;205;210;ChegadaReal
vra_do_mes_2017_04.rdata;205;210;Situacao
vra_do_mes_2017_04.rdata;205;210;Justificativa
vra_do_mes_2017_05.rdata;207;207;Sigla
vra_do_mes_2017_05.rdata;207;207;Voo
vra_do_mes_2017_05.rdata;207;207;DI
vra_do_mes_2017_05.rdata;207;207;TipoLinha
vra_do_mes_2017_05.rdata;207;207;AeroportoOrigem
vra_do_mes_2017_05.rdata;207;207;AeroportoDestino
vra_do_mes_2017_05.rdata;207;207;PartidaPrevista
vra_do_mes_2017_05.rdata;207;207;PartidaReal
vra_do_mes_2017_05.rdata;207;207;ChegadaPrevista
vra_do_mes_2017_05.rdata;207;207;ChegadaReal
vra_do_mes_2017_05.rdata;207;207;Situacao
vra_do_mes_2017_05.rdata;207;207;Justificativa
vra_do_mes_2017_06.rdata;198;198;Sigla
vra_do_mes_2017_06.rdata;198;198;Voo
vra_do_mes_2017_06.rdata;198;198;DI
vra_do_mes_2017_06.rdata;198;198;TipoLinha
vra_do_mes_2017_06.rdata;198;198;AeroportoOrigem
vra_do_mes_2017_06.rdata;198;198;AeroportoDestino
vra_do_mes_2017_06.rdata;198;198;PartidaPrevista
vra_do_mes_2017_06.rdata;198;198;PartidaReal
vra_do_mes_2017_06.rdata;198;198;ChegadaPrevista
vra_do_mes_2017_06.rdata;198;198;ChegadaReal
vra_do_mes_2017_06.rdata;198;198;Situacao
vra_do_mes_2017_06.rdata;198;198;Justificativa
vra_do_mes_2017_07.rdata;204;205;Sigla
vra_do_mes_2017_07.rdata;204;205;Voo
vra_do_mes_2017_07.rdata;204;205;DI
vra_do_mes_2017_07.rdata;204;205;TipoLinha
vra_do_mes_2017_07.rdata;204;205;AeroportoOrigem
vra_do_mes_2017_07.rdata;204;205;AeroportoDestino
vra_do_mes_2017_07.rdata;204;205;PartidaPrevista
vra_do_mes_2017_07.rdata;204;205;PartidaReal
vra_do_mes_2017_07.rdata;204;205;ChegadaPrevista
vra_do_mes_2017_07.rdata;204;205;ChegadaReal
vra_do_mes_2017_07.rdata;204;205;Situacao
vra_do_mes_2017_07.rdata;204;205;Justificativa
vra_do_mes_2017_08.rdata;198;200;Sigla
vra_do_mes_2017_08.rdata;198;200;Voo
vra_do_mes_2017_08.rdata;198;200;DI
vra_do_mes_2017_08.rdata;198;200;TipoLinha
vra_do_mes_2017_08.rdata;198;200;AeroportoOrigem
vra_do_mes_2017_08.rdata;198;200;AeroportoDestino
vra_do_mes_2017_08.rdata;198;200;PartidaPrevista
vra_do_mes_2017_08.rdata;198;200;PartidaReal
vra_do_mes_2017_08.rdata;198;200;ChegadaPrevista
vra_do_mes_2017_08.rdata;198;200;ChegadaReal
vra_do_mes_2017_08.rdata;198;200;Situacao
vra_do_mes_2017_08.rdata;198;200;Justificativa
vra_do_mes_2017_09.rdata;204;204;Sigla
vra_do_mes_2017_09.rdata;204;204;Voo
vra_do_mes_2017_09.rdata;204;204;DI
vra_do_mes_2017_09.rdata;204;204;TipoLinha
vra_do_mes_2017_09.rdata;204;204;AeroportoOrigem
vra_do_mes_2017_09.rdata;204;204;AeroportoDestino
vra_do_mes_2017_09.rdata;204;204;PartidaPrevista
vra_do_mes_2017_09.rdata;204;204;PartidaReal
vra_do_mes_2017_09.rdata;204;204;ChegadaPrevista
vra_do_mes_2017_09.rdata;204;204;ChegadaReal
vra_do_mes_2017_09.rdata;204;204;Situacao
vra_do_mes_2017_09.rdata;204;204;Justificativa
vra_do_mes_2017_10.rdata;199;203;Sigla
vra_do_mes_2017_10.rdata;199;203;Voo
vra_do_mes_2017_10.rdata;199;203;DI
vra_do_mes_2017_10.rdata;199;203;TipoLinha
vra_do_mes_2017_10.rdata;199;203;AeroportoOrigem
vra_do_mes_2017_10.rdata;199;203;AeroportoDestino
vra_do_mes_2017_10.rdata;199;203;PartidaPrevista
vra_do_mes_2017_10.rdata;199;203;PartidaReal
vra_do_mes_2017_10.rdata;199;203;ChegadaPrevista
vra_do_mes_2017_10.rdata;199;203;ChegadaReal
vra_do_mes_2017_10.rdata;199;203;Situacao
vra_do_mes_2017_10.rdata;199;203;Justificativa
vra_do_mes_2017_11.rdata;173;173;Sigla
vra_do_mes_2017_11.rdata;173;173;Voo
vra_do_mes_2017_11.rdata;173;173;DI
vra_do_mes_2017_11.rdata;173;173;TipoLinha
vra_do_mes_2017_11.rdata;173;173;AeroportoOrigem
vra_do_mes_2017_11.rdata;173;173;AeroportoDestino
vra_do_mes_2017_11.rdata;173;173;PartidaPrevista
vra_do_mes_2017_11.rdata;173;173;PartidaReal
vra_do_mes_2017_11.rdata;173;173;ChegadaPrevista
vra_do_mes_2017_11.rdata;173;173;ChegadaReal
vra_do_mes_2017_11.rdata;173;173;Situacao
vra_do_mes_2017_11.rdata;173;173;Justificativa
vra_do_mes_2017_12.rdata;204;203;Sigla
vra_do_mes_2017_12.rdata;204;203;Voo
vra_do_mes_2017_12.rdata;204;203;DI
vra_do_mes_2017_12.rdata;204;203;TipoLinha
vra_do_mes_2017_12.rdata;204;203;AeroportoOrigem
vra_do_mes_2017_12.rdata;204;203;AeroportoDestino
vra_do_mes_2017_12.rdata;204;203;PartidaPrevista
vra_do_mes_2017_12.rdata;204;203;PartidaReal
vra_do_mes_2017_12.rdata;204;203;ChegadaPrevista
vra_do_mes_2017_12.rdata;204;203;ChegadaReal
vra_do_mes_2017_12.rdata;204;203;Situacao
vra_do_mes_2017_12.rdata;204;203;Justificativa
vra_do_mes_2018_01.rdata;201;202;Sigla
vra_do_mes_2018_01.rdata;201;202;Voo
vra_do_mes_2018_01.rdata;201;202;DI
vra_do_mes_2018_01.rdata;201;202;TipoLinha
vra_do_mes_2018_01.rdata;201;202;AeroportoOrigem
vra_do_mes_2018_01.rdata;201;202;AeroportoDestino
vra_do_mes_2018_01.rdata;201;202;PartidaPrevista
vra_do_mes_2018_01.rdata;201;202;PartidaReal
vra_do_mes_2018_01.rdata;201;202;ChegadaPrevista
vra_do_mes_2018_01.rdata;201;202;ChegadaReal
vra_do_mes_2018_01.rdata;201;202;Situacao
vra_do_mes_2018_01.rdata;201;202;Justificativa
vra_do_mes_2018_02.rdata;222;226;Sigla
vra_do_mes_2018_02.rdata;222;226;Voo
vra_do_mes_2018_02.rdata;222;226;DI
vra_do_mes_2018_02.rdata;222;226;TipoLinha
vra_do_mes_2018_02.rdata;222;226;AeroportoOrigem
vra_do_mes_2018_02.rdata;222;226;AeroportoDestino
vra_do_mes_2018_02.rdata;222;226;PartidaPrevista
vra_do_mes_2018_02.rdata;222;226;PartidaReal
vra_do_mes_2018_02.rdata;222;226;ChegadaPrevista
vra_do_mes_2018_02.rdata;222;226;ChegadaReal
vra_do_mes_2018_02.rdata;222;226;Situacao
vra_do_mes_2018_02.rdata;222;226;Justificativa
vra_do_mes_2018_03.rdata;226;225;Sigla
vra_do_mes_2018_03.rdata;226;225;Voo
vra_do_mes_2018_03.rdata;226;225;DI
vra_do_mes_2018_03.rdata;226;225;TipoLinha
vra_do_mes_2018_03.rdata;226;225;AeroportoOrigem
vra_do_mes_2018_03.rdata;226;225;AeroportoDestino
vra_do_mes_2018_03.rdata;226;225;PartidaPrevista
vra_do_mes_2018_03.rdata;226;225;PartidaReal
vra_do_mes_2018_03.rdata;226;225;ChegadaPrevista
vra_do_mes_2018_03.rdata;226;225;ChegadaReal
vra_do_mes_2018_03.rdata;226;225;Situacao
vra_do_mes_2018_03.rdata;226;225;Justificativa
vra_do_mes_2018_04.rdata;218;221;Sigla
vra_do_mes_2018_04.rdata;218;221;Voo
vra_do_mes_2018_04.rdata;218;221;DI
vra_do_mes_2018_04.rdata;218;221;TipoLinha
vra_do_mes_2018_04.rdata;218;221;AeroportoOrigem
vra_do_mes_2018_04.rdata;218;221;AeroportoDestino
vra_do_mes_2018_04.rdata;218;221;PartidaPrevista
vra_do_mes_2018_04.rdata;218;221;PartidaReal
vra_do_mes_2018_04.rdata;218;221;ChegadaPrevista
vra_do_mes_2018_04.rdata;218;221;ChegadaReal
vra_do_mes_2018_04.rdata;218;221;Situacao
vra_do_mes_2018_04.rdata;218;221;Justificativa
vra_do_mes_2018_05.rdata;217;216;Sigla
vra_do_mes_2018_05.rdata;217;216;Voo
vra_do_mes_2018_05.rdata;217;216;DI
vra_do_mes_2018_05.rdata;217;216;TipoLinha
vra_do_mes_2018_05.rdata;217;216;AeroportoOrigem
vra_do_mes_2018_05.rdata;217;216;AeroportoDestino
vra_do_mes_2018_05.rdata;217;216;PartidaPrevista
vra_do_mes_2018_05.rdata;217;216;PartidaReal
vra_do_mes_2018_05.rdata;217;216;ChegadaPrevista
vra_do_mes_2018_05.rdata;217;216;ChegadaReal
vra_do_mes_2018_05.rdata;217;216;Situacao
vra_do_mes_2018_05.rdata;217;216;Justificativa
vra_do_mes_2018_06.rdata;219;215;Sigla
vra_do_mes_2018_06.rdata;219;215;Voo
vra_do_mes_2018_06.rdata;219;215;DI
vra_do_mes_2018_06.rdata;219;215;TipoLinha
vra_do_mes_2018_06.rdata;219;215;AeroportoOrigem
vra_do_mes_2018_06.rdata;219;215;AeroportoDestino
vra_do_mes_2018_06.rdata;219;215;PartidaPrevista
vra_do_mes_2018_06.rdata;219;215;PartidaReal
vra_do_mes_2018_06.rdata;219;215;ChegadaPrevista
vra_do_mes_2018_06.rdata;219;215;ChegadaReal
vra_do_mes_2018_06.rdata;219;215;Situacao
vra_do_mes_2018_06.rdata;219;215;Justificativa
vra_do_mes_2018_07.rdata;213;206;Sigla
vra_do_mes_2018_07.rdata;213;206;Voo
vra_do_mes_2018_07.rdata;213;206;DI
vra_do_mes_2018_07.rdata;213;206;TipoLinha
vra_do_mes_2018_07.rdata;213;206;AeroportoOrigem
vra_do_mes_2018_07.rdata;213;206;AeroportoDestino
vra_do_mes_2018_07.rdata;213;206;PartidaPrevista
vra_do_mes_2018_07.rdata;213;206;PartidaReal
vra_do_mes_2018_07.rdata;213;206;ChegadaPrevista
vra_do_mes_2018_07.rdata;213;206;ChegadaReal
vra_do_mes_2018_07.rdata;213;206;Situacao
vra_do_mes_2018_07.rdata;213;206;Justificativa
vra_do_mes_2018_08.rdata;210;207;Sigla
vra_do_mes_2018_08.rdata;210;207;Voo
vra_do_mes_2018_08.rdata;210;207;DI
vra_do_mes_2018_08.rdata;210;207;TipoLinha
vra_do_mes_2018_08.rdata;210;207;AeroportoOrigem
vra_do_mes_2018_08.rdata;210;207;AeroportoDestino
vra_do_mes_2018_08.rdata;210;207;PartidaPrevista
vra_do_mes_2018_08.rdata;210;207;PartidaReal
vra_do_mes_2018_08.rdata;210;207;ChegadaPrevista
vra_do_mes_2018_08.rdata;210;207;ChegadaReal
vra_do_mes_2018_08.rdata;210;207;Situacao
vra_do_mes_2018_08.rdata;210;207;Justificativa
vra_do_mes_2018_09.rdata;214;212;Sigla
vra_do_mes_2018_09.rdata;214;212;Voo
vra_do_mes_2018_09.rdata;214;212;DI
vra_do_mes_2018_09.rdata;214;212;TipoLinha
vra_do_mes_2018_09.rdata;214;212;AeroportoOrigem
vra_do_mes_2018_09.rdata;214;212;AeroportoDestino
vra_do_mes_2018_09.rdata;214;212;PartidaPrevista
vra_do_mes_2018_09.rdata;214;212;PartidaReal
vra_do_mes_2018_09.rdata;214;212;ChegadaPrevista
vra_do_mes_2018_09.rdata;214;212;ChegadaReal
vra_do_mes_2018_09.rdata;214;212;Situacao
vra_do_mes_2018_09.rdata;214;212;Justificativa
vra_do_mes_2018_10.rdata;208;208;Sigla
vra_do_mes_2018_10.rdata;208;208;Voo
vra_do_mes_2018_10.rdata;208;208;DI
vra_do_mes_2018_10.rdata;208;208;TipoLinha
vra_do_mes_2018_10.rdata;208;208;AeroportoOrigem
vra_do_mes_2018_10.rdata;208;208;AeroportoDestino
vra_do_mes_2018_10.rdata;208;208;PartidaPrevista
vra_do_mes_2018_10.rdata;208;208;PartidaReal
vra_do_mes_2018_10.rdata;208;208;ChegadaPrevista
vra_do_mes_2018_10.rdata;208;208;ChegadaReal
vra_do_mes_2018_10.rdata;208;208;Situacao
vra_do_mes_2018_10.rdata;208;208;Justificativa
vra_do_mes_2018_11.rdata;207;208;Sigla
vra_do_mes_2018_11.rdata;207;208;Voo
vra_do_mes_2018_11.rdata;207;208;DI
vra_do_mes_2018_11.rdata;207;208;TipoLinha
vra_do_mes_2018_11.rdata;207;208;AeroportoOrigem
vra_do_mes_2018_11.rdata;207;208;AeroportoDestino
vra_do_mes_2018_11.rdata;207;208;PartidaPrevista
vra_do_mes_2018_11.rdata;207;208;PartidaReal
vra_do_mes_2018_11.rdata;207;208;ChegadaPrevista
vra_do_mes_2018_11.rdata;207;208;ChegadaReal
vra_do_mes_2018_11.rdata;207;208;Situacao
vra_do_mes_2018_11.rdata;207;208;Justificativa
vra_do_mes_2018_12.rdata;213;209;Sigla
vra_do_mes_2018_12.rdata;213;209;Voo
vra_do_mes_2018_12.rdata;213;209;DI
vra_do_mes_2018_12.rdata;213;209;TipoLinha
vra_do_mes_2018_12.rdata;213;209;AeroportoOrigem
vra_do_mes_2018_12.rdata;213;209;AeroportoDestino
vra_do_mes_2018_12.rdata;213;209;PartidaPrevista
vra_do_mes_2018_12.rdata;213;209;PartidaReal
vra_do_mes_2018_12.rdata;213;209;ChegadaPrevista
vra_do_mes_2018_12.rdata;213;209;ChegadaReal
vra_do_mes_2018_12.rdata;213;209;Situacao
vra_do_mes_2018_12.rdata;213;209;Justificativa
vra_do_mes_2019_01.rdata;209;208;Sigla
vra_do_mes_2019_01.rdata;209;208;Voo
vra_do_mes_2019_01.rdata;209;208;DI
vra_do_mes_2019_01.rdata;209;208;TipoLinha
vra_do_mes_2019_01.rdata;209;208;AeroportoOrigem
vra_do_mes_2019_01.rdata;209;208;AeroportoDestino
vra_do_mes_2019_01.rdata;209;208;PartidaPrevista
vra_do_mes_2019_01.rdata;209;208;PartidaReal
vra_do_mes_2019_01.rdata;209;208;ChegadaPrevista
vra_do_mes_2019_01.rdata;209;208;ChegadaReal
vra_do_mes_2019_01.rdata;209;208;Situacao
vra_do_mes_2019_01.rdata;209;208;Justificativa
vra_do_mes_2019_02.rdata;218;219;Sigla
vra_do_mes_2019_02.rdata;218;219;Voo
vra_do_mes_2019_02.rdata;218;219;DI
vra_do_mes_2019_02.rdata;218;219;TipoLinha
vra_do_mes_2019_02.rdata;218;219;AeroportoOrigem
vra_do_mes_2019_02.rdata;218;219;AeroportoDestino
vra_do_mes_2019_02.rdata;218;219;PartidaPrevista
vra_do_mes_2019_02.rdata;218;219;PartidaReal
vra_do_mes_2019_02.rdata;218;219;ChegadaPrevista
vra_do_mes_2019_02.rdata;218;219;ChegadaReal
vra_do_mes_2019_02.rdata;218;219;Situacao
vra_do_mes_2019_02.rdata;218;219;Justificativa
vra_do_mes_2019_03.rdata;225;224;Sigla
vra_do_mes_2019_03.rdata;225;224;Voo
vra_do_mes_2019_03.rdata;225;224;DI
vra_do_mes_2019_03.rdata;225;224;TipoLinha
vra_do_mes_2019_03.rdata;225;224;AeroportoOrigem
vra_do_mes_2019_03.rdata;225;224;AeroportoDestino
vra_do_mes_2019_03.rdata;225;224;PartidaPrevista
vra_do_mes_2019_03.rdata;225;224;PartidaReal
vra_do_mes_2019_03.rdata;225;224;ChegadaPrevista
vra_do_mes_2019_03.rdata;225;224;ChegadaReal
vra_do_mes_2019_03.rdata;225;224;Situacao
vra_do_mes_2019_03.rdata;225;224;Justificativa
